Year,Unintentional,Suicide,Homicide,Youth Population
1990,4,0,0,18241
1991,10,2,0,19000
1992,5,0,1,19392
1993,11,0,0,20095
1994,2,3,2,20447
1995,2,2,0,20161
1996,3,0,1,20735.75221
1997,8,1,0,20846.36388
1998,2,0,0,21008.2464
1999,6,4,0,20936.86416
2000,3,1,0,20936
2001,5,1,1,20887
2002,1,0,0,20915
2003,1,0,0,20942
2004,3,0,0,21100
2005,1,2,0,21253
2006,4,0,1,21221
2007,1,4,0,21286
2008,4,1,0,21200
2009,3,1,0,21198
2010,5,1,1,21000
2011,2,0,2,20996
2012,2,0,1,20793
2013,1,3,0,20766
2014,9,0,1,20979
2015,3,1,1,21091
2016,5,3,0,20967
2017,2,6,0,21209
2018,3,0,0,21275
2019,3,1,0,21261
2020,3,1,1,21249